id,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason,person_plural_gold,person_plural_gold_reason
721195362,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Scientist_dilutes_and_transfers_samples_to_a_qPCR_plate.jpg/220px-Scientist_dilutes_and_transfers_samples_to_a_qPCR_plate.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721195363,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Advokat%2C_Fransk_advokatdr%C3%A4kt%2C_Nordisk_familjebok.png/220px-Advokat%2C_Fransk_advokatdr%C3%A4kt%2C_Nordisk_familjebok.png,One Person,,,,Male,,,
721195364,http://upload.wikimedia.org/wikipedia/it/thumb/e/e5/Vittoriocramer2.jpg/220px-Vittoriocramer2.jpg,One Person,,,,Male,,,
721195365,http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Photographer_in_Calgary.jpg/310px-Photographer_in_Calgary.jpg,"One Person
Several Persons, *but one* person's depiction is dominant",,"Male
I'm not sure",,"Male
I'm not sure",,,
721195467,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Photographer1850s.png/220px-Photographer1850s.png,One Person,,,,Male,,,
721195468,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Prawo_wykonywania_zawodu_aptekarza.jpg/300px-Prawo_wykonywania_zawodu_aptekarza.jpg,No Person,,,,,,,
721195469,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/ApotekerHjorten.jpg/250px-ApotekerHjorten.jpg,One Person,,,,"Male
I'm not sure",,,
721195495,http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Vetlogo.svg/140px-Vetlogo.svg.png,No Person,,,,,,,
721195571,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Veterinary_Surgeon.jpg/220px-Veterinary_Surgeon.jpg,One Person,,,,Male,,,
721195572,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Stamp_Ana_N%C3%A9ri.jpg/102px-Stamp_Ana_N%C3%A9ri.jpg,One Person,,,,"Female
Male
I'm not sure",,,
721195574,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Ambulance_NYC.jpg/220px-Ambulance_NYC.jpg,No Person,,,,,,,
721195620,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Firefighting_exercise.jpg/200px-Firefighting_exercise.jpg,"Several Persons, *no single* person's depiction is dominant",,,,,,"Only female
Only male
Mixed, but predominantly male persons
Mixed, but predominantly female persons
I'm not sure",
721195676,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Pce_Wik_SDC16512.JPG/220px-Pce_Wik_SDC16512.JPG,No Person,,,,,,,
721195677,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Police_Poland_2_AB.jpg/170px-Police_Poland_2_AB.jpg,One Person,,,,Male,,,
721195678,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Detektiv.jpg/200px-Detektiv.jpg,One Person,,,,"Male
I'm not sure",,,
721195779,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/G4S_v%C3%A4ktare_med_hund.jpeg/220px-G4S_v%C3%A4ktare_med_hund.jpeg,One Person,,,,"Female
Male
I'm not sure",,,
