id,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url
882949379,one_person,1,,0,,0,"male
gender_is_not_recognizable","0.6562
0.3438",http://upload.wikimedia.org/wikipedia/commons/3/3b/Hugo_M%C3%BChlig_J%C3%A4ger_mit_Hund_im_Grafenberger_Wald.jpg
882949380,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/d/d3/En_f%C3%A6r%C3%B8sk_j%C3%A6ger.jpg
882949381,"one_person
no_person","0.6667
0.3333",,0,,0,male,0.6667,http://upload.wikimedia.org/wikipedia/commons/0/05/Joachim_von_Sandrart_-_November.jpg
882949382,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/5/5c/Hunter_in_Italy_Stavoli_2008_1004.JPG
882949383,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/8/81/Battenberg_J%C3%A4gerkreuz_2.JPG
882949384,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/e/ef/Fotothek_df_n-17_0000047_Elektronikfacharbeiter.jpg
882949385,several_persons_no_single_persons_depiction_is_dominant,1,mixed_but_predominantly_female_persons,1,,0,,0,http://upload.wikimedia.org/wikipedia/de/1/1c/Fotografen-am-roten-teppich.jpg
882949386,several_persons_no_single_persons_depiction_is_dominant,1,"mixed_equal_amount_of_male_and_female_persons
mixed_but_predominantly_male_persons","0.6667
0.3333",,0,,0,http://upload.wikimedia.org/wikipedia/commons/a/a1/2009-06-23-flemming-by-RalfR-04.jpg
882949387,several_persons_no_single_persons_depiction_is_dominant,1,"only_male
mixed_equal_amount_of_male_and_female_persons","0.6562
0.3438",,0,,0,http://upload.wikimedia.org/wikipedia/commons/1/1d/Schleifer-1568.png
882949388,one_person,1,,0,,0,male,1,http://upload.wikimedia.org/wikipedia/commons/d/d3/Werkstatt_und_Schleiferei_im_Gew%C3%B6lbekeller_der_Fa._Gottlob_Brucklacher.JPG
882949389,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/5/59/Werkzeug_as.jpg
882949390,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/2/2a/LegoSpritzguss.JPG
882949391,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/de/2/28/Werkzeug_ds.jpg
882949392,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/0/04/ProgressiveDieToyota-strip-scrap.jpg
882949393,no_person,1,,0,,0,,0,http://upload.wikimedia.org/wikipedia/commons/d/df/AltenpflegemitarbeiterDeutschland.png
