	men	women	all_persons	men_ratio	labor_market_women_ratio	profession	Bias	prof_gender	labor_market_domin	labor_market_all	women_ratio	labor_market_women	labor_market_men
Abfallbeauftragter	3	0	3	1.0	26.1261261261	Abfallbeauftragter	male	male	male	555.0	0.0	145.0	410.0
Abt	5	1	6	0.833333333333	62.5711035267	Abt	male	male	female	879.0	0.166666666667	550.0	329.0
Altenpflegehelfer	3	1	4	0.75	85.0894719246	Altenpflegehelfer	male	male	female	502504.0	0.25	427578.0	74926.0
Altenpfleger	2	3	5	0.4	85.0894719246	Altenpfleger	male	male	female	502504.0	0.6	427578.0	74926.0
Angestellter	14	3	17	0.823529411765		Angestellter	male	male			0.176470588235		
Anwendungsprogrammierer	1	0	1	1.0	13.505193109	Anwendungsprogrammierer	male	male	male	32158.0	0.0	4342.99999999	27815.0
Anästhesietechnischer Assistent	2	1	3	0.666666666667	77.7285201604	Anästhesietechnischer Assistent	male	male	female	9474.0	0.333333333333	7364.0	2110.0
Apotheker	29	1	30	0.966666666667	83.8102088662	Apotheker	neutral	male	female	37536.0	0.0333333333333	31459.0	6076.99999998
Arbeitsvermittler	5	2	7	0.714285714286	66.3964145433	Arbeitsvermittler	male	male	female	99290.0	0.285714285714	65925.0	33365.0
Architekt	13	7	20	0.65	46.4820056611	Architekt	male	male	male	59352.0	0.35	27588.0	31764.0
Archivar	3	3	6	0.5	67.26062468	Archivar	male	male	female	9765.0	0.5	6568.0	3197.0
Arrangeur	91	7	98	0.928571428571	31.8181818182	Arrangeur	male	male	male	22.0	0.0714285714286	7.0	15.0
Artist (Darsteller)	5	16	21	0.238095238095	41.5165165165	Artist (Darsteller)	male	male	male	1332.0	0.761904761905	553.0	779.0
Arzt	21	3	24	0.875	90.9643696925	Arzt	male	male	female	66769.0	0.125	60736.0	6033.00000001
Astronom	3	0	3	1.0	13.6886395512	Astronom	male	male	male	7130.0	0.0	976.000000001	6154.0
Au-pair	2	10	12	0.166666666667	91.0178488053	Au-pair	neutral	neutral	female	732486.0	0.833333333333	666693.0	65793.0
Audiodesign	1	0	1	1.0	35.5086372361	Audiodesign	neutral	neutral	male	521.0	0.0	185.0	336.0
Aufsichtsperson	2	1	3	0.666666666667	76.9933233157	Aufsichtsperson	neutral	neutral	female	129106.0	0.333333333333	99403.0	29703.0
Augenoptiker	1	0	1	1.0	76.7466540888	Augenoptiker	male	male	female	33922.0	0.0	26034.0	7888.0
Ausbilder	1	0	1	1.0	33.7182984156	Ausbilder	male	male	male	34462.0	0.0	11620.0	22842.0
Automatenfachmann	1	0	1	1.0	31.1041666667	Automatenfachmann	male	male	male	4800.0	0.0	1493.0	3307.0
Ballettmeister	26	2	28	0.928571428571	53.1545741325	Ballettmeister	male	male	female	2536.0	0.0714285714286	1348.0	1188.0
Ballettrepetitor	6	0	6	1.0	35.5086372361	Ballettrepetitor	male	male	male	521.0	0.0	185.0	336.0
Bankkaufmann	2	1	3	0.666666666667	59.7982510844	Bankkaufmann	male	male	female	501911.0	0.333333333333	300134.0	201777.0
Bauchredner	12	1	13	0.923076923077	30.9090909091	Bauchredner	male	male	male	385.0	0.0769230769231	119.0	266.0
Baumeister	40	8	48	0.833333333333	22.5084770306	Baumeister	male	male	male	82871.0	0.166666666667	18653.0	64218.0
Bautechniker	1	0	1	1.0	22.5084770306	Bautechniker	male	male	male	82871.0	0.0	18653.0	64218.0
Bauzeichner	1	0	1	1.0	55.2902652383	Bauzeichner	male	male	female	106885.0	0.0	59097.0	47788.0
Beleuchtungsmeister	1	0	1	1.0	19.2571659265	Beleuchtungsmeister	male	male	male	2477.0	0.0	476.999999999	2000.0
Berechnungsingenieur	1	0	1	1.0	12.2531548471	Berechnungsingenieur	male	male	male	213798.0	0.0	26197.0	187601.0
Berg- und Maschinenmann	0	1	1	0.0	7.26492128967	Berg- und Maschinenmann	male	male	male	23758.0	1.0	1726.0	22032.0
Berufskraftfahrer	1	0	1	1.0	1.7043032114	Berufskraftfahrer	male	male	male	551193.0	0.0	9394.00000001	541799.0
Bestatter	9	3	12	0.75	26.2594161959	Bestatter	male	male	male	8496.0	0.25	2231.0	6265.0
Bestattungsfachkraft	5	0	5	1.0	26.2594161959	Bestattungsfachkraft	neutral	neutral	male	8496.0	0.0	2231.0	6265.0
Betriebsführer	2	1	3	0.666666666667	25.9924816691	Betriebsführer	male	male	male	451696.0	0.333333333333	117407.0	334289.0
Betriebswirt	1	0	1	1.0	44.2377678932	Betriebswirt	male	male	male	4946.0	0.0	2188.0	2758.0
Bewährungshelfer	2	0	2	1.0	74.9556154125	Bewährungshelfer	male	male	female	278813.0	0.0	208986.0	69826.9999999
Bibliothekar	22	14	36	0.611111111111	81.5969741542	Bibliothekar	male	male	female	23795.0	0.388888888889	19416.0	4379.00000001
Bildredakteur	1	2	3	0.333333333333	50.5608415413	Bildredakteur	male	male	female	71678.0	0.666666666667	36241.0	35437.0
Biologe	1	1	2	0.5	64.447695684	Biologe	male	male	female	1367.0	0.5	881.0	486.0
Bodenleger	1	0	1	1.0	0.557103064067	Bodenleger	male	male	male	4308.0	0.0	24.0	4284.0
Bootsmann	2	0	2	1.0	3.8146208153	Bootsmann	male	male	male	8782.0	0.0	335.0	8447.0
Bote	5	0	5	1.0	47.8940392206	Bote	neutral	male	male	205963.0	0.0	98643.9999999	107319.0
Botin	2	1	3	0.666666666667	47.8940392206	Botin	neutral	female	male	205963.0	0.333333333333	98643.9999999	107319.0
Buchbinder	8	0	8	1.0	36.6999465145	Buchbinder	male	male	male	11218.0	0.0	4117.0	7101.0
Buchhändler	9	2	11	0.818181818182	83.0677624958	Buchhändler	male	male	female	11924.0	0.181818181818	9905.0	2019.0
Bundeskanzlerin	1	3	4	0.25	18.1568088033	Bundeskanzlerin	neutral	female	male	2908.0	0.75	528.0	2380.0
Butler	30	13	43	0.697674418605	93.6919095072	Butler	male	male	female	190866.0	0.302325581395	178826.0	12040.0
Bäcker	1	0	1	1.0	29.4110759864	Bäcker	male	male	male	76869.0	0.0	22608.0	54261.0
Büchsenmacher	1	0	1	1.0	3.10172465159	Büchsenmacher	male	male	male	90627.0	0.0	2811.0	87816.0
Büchsenmeister	7	0	7	1.0	2.87769784173	Büchsenmeister	male	male	male	3336.0	0.0	96.0000000001	3240.0
Bühnenmaler	0	1	1	0.0	70.9736680955	Bühnenmaler	male	male	female	3266.0	1.0	2318.0	948.000000001
Chefredakteur	12	4	16	0.75	31.7397555715	Chefredakteur	male	male	male	2782.0	0.25	882.999999999	1899.0
Chemielaborant	11	2	13	0.846153846154	59.1680426246	Chemielaborant	male	male	female	72071.0	0.153846153846	42643.0	29428.0
Chemigraf	16	0	16	1.0	44.0740740741	Chemigraf	male	male	male	270.0	0.0	119.0	151.0
Chemiker	13	2	15	0.866666666667	14.1397849462	Chemiker	male	male	male	13020.0	0.133333333333	1841.0	11179.0
Chemisch-Technischer Assistent	3	1	4	0.75	59.1680426246	Chemisch-Technischer Assistent	male	male	female	72071.0	0.25	42643.0	29428.0
Clown	56	10	66	0.848484848485	54.5454545455	Clown	male	male	female	33.0	0.151515151515	18.0	15.0
Conférencier	12	0	12	1.0	48.0295566502	Conférencier	male	male	male	406.0	0.0	195.0	211.0
Croupier	4	0	4	1.0	18.8318693173	Croupier	male	male	male	6489.0	0.0	1222.0	5267.0
