	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	Bias	page_exist	label
0	Obj.Pers.Brandschutz,Arbeitssicherh(ssT)	37.7005047672	5318	53182	62.2994952328	8915.0	Hilfspolizist	neutral	female&male	female
1	Musik-,Gesangs-, Dirigententätigk. (ssT)	35.5086372361	9418	94183	64.4913627639	521.0	Audiodesigner	neutral	only neutral	neutral
2	Aufsicht,Führung-TheaterFilm,Fernsehprod	40.1872883044	9449	94494	59.8127116956	5019.0	Filmgeschäftsführer	neutral	only neutral	neutral
3	Führung - Allgemeinbildende Schulen	62.9975429975	8419	84194	37.0024570025	2035.0	Direktor	neutral	female&male	female
4	Berufe für Post- und Zustelldienste	47.8940392206	5132	51321	52.1059607794	205963.0	Bote	neutral	female&male	female
5	Angehörige gesetzgebender Körperschaften	18.1568088033	7121	71214	81.8431911967	2908.0	Bundeskanzler	neutral	female&male	female
6	Berufe in der Gemeindearbeit	58.6139959235	8332	83323	41.3860040765	10303.0	Diakon	neutral	female&male	female
7	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26313	88.5618394447	191884.0	Medientechniker	neutral	only neutral	neutral
8	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26313	88.5618394447	191884.0	Projektassistent	neutral	only neutral	neutral
9	Angehörige geistl. Orden, Mutterhäuser	62.5711035267	8333	83332	37.4288964733	879.0	Mönch	neutral	female&male	female
10	Berufe im Veranstaltungsservice,-manag.	58.3260838046	6340	63401	41.6739161954	27588.0	Host	neutral	female&male	female
11	Berufe i.d. Bühnen- und Kostümbildnerei	70.9736680955	9461	94612	29.0263319045	3266.0	Dekorationenmaler	neutral	only neutral	neutral
12	Berufe in der Landwirtschaft (o.S.)	21.5765899789	1110	11101	78.4234100211	124357.0	Knecht	neutral	female&male	female
13	Apotheker, Pharmazeuten	83.8102088662	8180	81804	16.1897911338	37536.0	Apotheker	neutral	female&male	female
14	Berufe in der Bautischlerei	2.72014753343	3333	33332	97.2798524666	23859.0	Messebauer	neutral	only neutral	neutral
15	Aufsicht,Führung-Krankenpfl.,Rettungsd.	78.3566481054	8139	81394	21.6433518946	36815.0	Pflegedienstleiter	neutral	only neutral	neutral
16	Angehörige geistl. Orden, Mutterhäuser	62.5711035267	8333	83332	37.4288964733	879.0	Ordensbruder	neutral	female&male	female
17	Berufskraftfahrer(Personentransport/PKW)	13.9629239126	5211	52112	86.0370760874	74927.0	Taxifahrer	neutral	female&male	female
18	Mannequins, Dressmen, sonstige Models	88.7755102041	9423	94232	11.2244897959	98.0	Dressman	neutral	female&male	female
19	Berufe in der Elektrotechnik (o.S.)	25.5998730188	2630	26302	74.4001269812	220505.0	Elektrofachkraft	neutral	only neutral	neutral
20	Berufe Wasserversorgung,Abwassertechnik	3.55635707845	3431	34312	96.4436429216	27725.0	Fachkraft für Wasserversorgungstechnik	neutral	only neutral	neutral
21	Athleten, Berufssportler	8.49660523763	9424	94243	91.5033947624	5155.0	Jockey	neutral	only neutral	neutral
22	Berufe im Holz-, Möbel-, Innenausbau	3.90146033877	2234	22342	96.0985396612	143049.0	Fachkraft für Möbel-, Küchen- und Umzugsservice	neutral	only neutral	neutral
23	Berufe in der Wasserwirtschaft	29.7596457938	3114	31142	70.2403542062	3162.0	Fachkraft für Wasserwirtschaft	neutral	only neutral	neutral
24	Berufe in der Metallbearbeitung (o.S.)	18.4493427603	2420	24202	81.5506572397	396735.0	Fachkraft für Metalltechnik	neutral	only neutral	neutral
25	Berufe im Objekt-,Werte-, Personenschutz	31.0871031175	5311	53112	68.9128968825	212059.0	Fachkraft für Schutz und Sicherheit	neutral	only neutral	neutral
26	Berufe im Gastronomieservice (o.S.)	65.2648305355	6330	63302	34.7351694645	391439.0	Fachkraft im Gastgewerbe	neutral	only neutral	neutral
27	Berufe i.d. Lebensmittelherstellung (oS)	38.6667510562	2920	29202	61.3332489438	126398.0	Fachkraft für Lebensmitteltechnik	neutral	only neutral	neutral
28	Berufe in der Abfallwirtschaft	8.06979280262	3433	34332	91.9302071974	11004.0	Fachkraft für Kreislauf- und Abfallwirtschaft	neutral	only neutral	neutral
29	Berufe Veranstaltungs- und Bühnentechnik	12.5905136121	9451	94512	87.4094863879	17815.0	Fachkraft für Veranstaltungstechnik	neutral	only neutral	neutral
30	Aufsicht und Führung - Verkauf	51.1445158615	6219	62193	48.8554841385	96460.0	Kassenaufsicht	neutral	only neutral	neutral
31	Berufe Arbeitssicherh. Sicherheitstech.	13.1710869017	5312	53123	86.8289130983	35707.0	Fachkraft für Arbeitssicherheit	neutral	only neutral	neutral
32	Berufe für Post- und Zustelldienste	47.8940392206	5132	51322	52.1059607794	205963.0	Fachkraft für Kurier-, Express- und Postdienstleistungen	neutral	only neutral	neutral
33	Berufe im Bestattungswesen	26.2594161959	8240	82402	73.7405838041	8496.0	Bestattungsfachkraft	neutral	only neutral	neutral
