	Berufsgruppen	Frauen	Ingesamt	KldB	Männer	Frauen_ratio
0	Berufe in der Landwirtschaft (o.S.)	26832.0	124357.0	1110	97525.0	21.5765899789
1	Berufe in der Landtechnik	206.0	1730.0	1111	1524.0	11.9075144509
2	Landwirtschaftliche Sachverständige	336.0	1353.0	1112	1017.0	24.8337028825
3	Berufe landwirtsch.-techn. Laboratorium	2440.0	3481.0	1113	1041.0	70.0948003447
4	Berufe in der Landwirtschaft (s.s.T.)	1056.0	3091.0	1118	2035.0	34.1637010676
5	Aufsicht und Führung - Landwirtschaft	638.0	3932.0	1119	3294.0	16.2258392675
6	Berufe in der Nutztierhaltung	7689.0	17794.0	1121	10105.0	43.2111947848
7	Berufe in der Geflügelhaltung	868.0	1780.0	1122	912.0	48.7640449438
8	Berufe in der Imkerei	36.0	126.0	1123	90.0	28.5714285714
9	Berufe in der Tierwirtschaft (s.s.T.)	234.0	751.0	1128	517.0	31.1584553928
10	Aufsicht und Führung - Tierwirtschaft	307.0	967.0	1129	660.0	31.7476732161
11	Berufe in der Pferdewirtschaft (o.S.)	4481.0	7352.0	1130	2871.0	60.9494015234
12	Berufe i.d. Pferdewirtschaft-Pferdezucht	397.0	584.0	1131	187.0	67.9794520548
13	Berufe in der Pferdewirtschaft - Reiten	1231.0	1946.0	1132	715.0	63.2579650565
14	Hufbeschlagschmiede/-schmiedinnen	56.0	470.0	1133	414.0	11.914893617
15	Kutscher/innen	56.0	366.0	1134	310.0	15.3005464481
16	Aufsicht und Führung - Pferdewirtschaft	202.0	331.0	1139	129.0	61.0271903323
17	Berufe in der Fischwirtschaft (o.S.)	140.0	790.0	1140	650.0	17.7215189873
18	Berufe in der Fischzucht	202.0	622.0	1141	420.0	32.4758842444
19	Berufe in der Fischerei	38.0	782.0	1142	744.0	4.85933503836
20	Aufsicht und Führung - Fischwirtschaft	8.0	107.0	1149	99.0	7.47663551402
21	Berufe in der Tierpflege (o.S.)	5799.0	12346.0	1150	6547.0	46.9706787624
22	Berufe in der Nutztierpflege	528.0	1581.0	1151	1053.0	33.3965844402
23	Berufe in der Haus-, Zootierpflege	2836.0	4575.0	1152	1739.0	61.9890710383
24	Berufe in der Tierpflege (s.s.T.)	1471.0	2186.0	1158	715.0	67.2918572736
25	Aufsicht und Führung - Tierpflege	203.0	338.0	1159	135.0	60.0591715976
26	Berufe im Weinbau	477.0	2645.0	1160	2168.0	18.034026465
27	Aufsicht und Führung - Weinbau	31.0	231.0	1169	200.0	13.4199134199
28	Berufe in der Forstwirtschaft	1254.0	24590.0	1171	23336.0	5.09963399756
29	Berufe in der Natur-, Landschaftspflege	1591.0	4804.0	1172	3213.0	33.1182348043
30	Berufe in der Jagdwirtschaft, Wildhege	36.0	388.0	1173	352.0	9.27835051546
31	Sammeln von Pflanzen, Naturprodukten	9.0	36.0	1174	27.0	25.0
32	Aufsicht,Führung-Forst,Landschaftspflege	223.0	3358.0	1179	3135.0	6.64085765337
33	Berufe im Gartenbau (o.S.)	29638.0	135732.0	1210	106094.0	21.8356761854
34	Berufe im Obst-, Gemüsebau	1063.0	2805.0	1211	1742.0	37.8966131907
35	Berufe BaumschuleStauden,Zierpflanzenbau	5234.0	11060.0	1212	5826.0	47.3236889693
36	Berufe in der Friedhofsgärtnerei	1181.0	4149.0	1213	2968.0	28.4646902868
37	Berufe Garten-,Landschafts,Sportplatzbau	9089.0	65627.0	1214	56538.0	13.8494826824
38	Aufsicht und Führung - Gartenbau	922.0	5455.0	1219	4533.0	16.9019248396
39	Berufe in der Floristik	31763.0	33101.0	1220	1338.0	95.9578260476
40	Aufsicht und Führung - Floristik	577.0	654.0	1229	77.0	88.2262996942
41	Berufe im Berg- und Tagebau	1726.0	23758.0	2111	22032.0	7.26492128967
42	Berufe in der Sprengtechnik	36.0	1639.0	2112	1603.0	2.19646125686
43	Aufsicht,Führung-Bergbau,Sprengtechn.	37.0	3422.0	2119	3385.0	1.0812390415
44	Naturstein,Mineral,Baustoffherstell(o.S)	475.0	9558.0	2120	9083.0	4.96965892446
45	Berufe Naturstein-,Mineralaufbereitung	419.0	9895.0	2121	9476.0	4.23446184942
46	Berufe in der Baustoffherstellung	363.0	21180.0	2122	20817.0	1.71388101983
47	Berufe in der Steinmetztechnik	537.0	9863.0	2123	9326.0	5.44459089527
48	Aufsicht-Naturstein,Mineral,Baustoffher.	84.0	1502.0	2129	1418.0	5.59254327563
49	Berufe in der Glasherstellung	3127.0	17863.0	2131	14736.0	17.5054582097
50	Berufe im Glasapparatebau	87.0	396.0	2132	309.0	21.9696969697
51	Berufe in der industriellen Glasbläserei	79.0	294.0	2133	215.0	26.8707482993
52	Berufe in der Glasveredelung	2702.0	11756.0	2134	9054.0	22.984008166
53	Berufe in der Glasapparatejustierung	60.0	108.0	2135	48.0	55.5555555556
54	Berufe in der Feinoptik	1430.0	3391.0	2136	1961.0	42.1704511943
55	Aufsicht-Industri.Glasherst.,-verarbeit.	16.0	302.0	2139	286.0	5.29801324503
56	Industriekeramik (Verfahren,Anlagentech)	2952.0	11575.0	2141	8623.0	25.5032397408
57	Industriekeramik (Modelltechnik)	161.0	962.0	2142	801.0	16.735966736
58	Aufsicht-Industrielle Keramikherstellung	11.0	260.0	2149	249.0	4.23076923077
59	Kunststoff-,Kautschukherstellung (o.S.)	59229.0	221445.0	2210	162216.0	26.7465962203
60	Berufe i.d.Reifen-,Vulkanisationstechnik	148.0	11143.0	2211	10995.0	1.32818810015
61	Kunststoff,Kautschukherst.,-verarb.(ssT)	1022.0	5081.0	2218	4059.0	20.1141507577
62	Aufsicht-Kunststoff,Kautschukher,verarb.	47.0	2046.0	2219	1999.0	2.29716520039
63	Berufe in der Farb-, Lacktechnik (o.S.)	2911.0	35322.0	2220	32411.0	8.24132268841
64	Berufe in der Fahrzeuglackierung	1793.0	28825.0	2221	27032.0	6.22029488291
65	Berufe im Lacklaboratorium	1605.0	3518.0	2222	1913.0	45.6225127914
66	Aufsicht - Farb-, Lacktechnik	43.0	1255.0	2229	1212.0	3.42629482072
67	Berufe i.d. Holzbe-,-verarbeitung (o.S.)	6714.0	58376.0	2230	51662.0	11.5013019049
68	Berufe Holztrocknung,-konservierung	15.0	308.0	2231	293.0	4.87012987013
69	Produktion v. Holzwerkstoffen,-bauteilen	736.0	9814.0	2232	9078.0	7.49949052374
70	Produktion v. Fertigprodukten aus Holz	348.0	5049.0	2233	4701.0	6.89245395128
71	Berufe im Holz-, Möbel-, Innenausbau	5581.0	143049.0	2234	137468.0	3.90146033877
72	FlechtwerkgestalterBürsten-,Pinselmacher	980.0	1659.0	2235	679.0	59.0717299578
73	Berufe i.d. Holzbe-,-verarbeitung (ssT)	49.0	741.0	2238	692.0	6.61268556005
74	Aufsicht,Führung - Holzbe-,-verarbeitung	252.0	6163.0	2239	5911.0	4.08891773487
75	Berufe Papier-,Verpackungstechnik (o.S.)	9974.0	27191.0	2310	17217.0	36.681254827
76	Berufe in der Papierherstellung	637.0	12260.0	2311	11623.0	5.19575856444
77	Berufe Papierverarb., Verpackungstechnik	5391.0	30681.0	2312	25290.0	17.5711352303
78	Aufsicht - Papier-, Verpackungstechnik	30.0	1297.0	2319	1267.0	2.31303006939
79	Berufe Digital-, Printmediengestaltung	31198.0	62214.0	2321	31016.0	50.1462693284
80	Berufe Grafik-Kommunikations-,Fotodesign	19796.0	40470.0	2322	20674.0	48.9152458611
81	Berufe technische Mediengestaltung (ssT)	119.0	270.0	2328	151.0	44.0740740741
82	Aufsicht,Führung-Techn. Mediengestaltung	2488.0	5424.0	2329	2936.0	45.8702064897
83	Berufe in der Fototechnik	2350.0	4060.0	2331	1710.0	57.881773399
84	Berufe in der Fotografie	4638.0	7228.0	2332	2590.0	64.1671278362
85	Aufsicht - Fototechnik und Fotografie	35.0	76.0	2339	41.0	46.0526315789
86	Berufe in der Drucktechnik	16712.0	73951.0	2341	57239.0	22.5987478195
87	Berufe Buchbinderei, Druckweiterverarb.	4117.0	11218.0	2342	7101.0	36.6999465145
88	Aufsicht-Drucktechnik,Buchbinderei	113.0	1020.0	2349	907.0	11.0784313725
89	Berufe in der Metallerzeugung (o.S.)	1209.0	12136.0	2410	10927.0	9.96209624258
90	Berufe in der Hüttentechnik	278.0	16309.0	2411	16031.0	1.70458029309
91	Berufe in der Metallumformung	3276.0	31942.0	2412	28666.0	10.2560891616
92	Berufe in der industriellen Gießerei	889.0	31926.0	2413	31037.0	2.78456430496
93	Berufe handwerkl.Metall-,Glockengießerei	255.0	6064.0	2414	5809.0	4.20514511873
94	Aufsicht - Metallerzeugung	12.0	1714.0	2419	1702.0	0.700116686114
