,labor_market_woman,Bias,Bias2,WikiName,Ambigious,Name,Oppositgender,Profession_name,NormalizedGoogleDif,l_m_without_outliers,NormalizedGoogleDif2
Abfallbeauftragter,26.1261261261,male,0,Abfallbeauftragter,0,Abfallbeauftragter,Abfallbeauftragte,Abfallbeauftragter,0.296424452134,26.1261261261,0.296424452134
Abt,62.5711035267,male,0,Abt,0,Abt,Äbtissin,Abt,0.986317527719,62.5711035267,0.986317527719
Account-Manager,43.2484932485,male,0,Account-Manager,0,Account-Manager,Account-Managerin,Account-Manager,0.995389441064,43.2484932485,0.995389441064
Altenpflegehelfer,85.0894719246,male,0,Altenpflegehelfer,0,Altenpflegehelfer,Altenpflegehelferin,Altenpflegehelfer,0.420560747664,85.0894719246,0.420560747664
Altenpfleger,85.0894719246,male,0,Altenpfleger,0,Altenpfleger,Altenpflegerin,Altenpfleger,0.475515463918,85.0894719246,0.475515463918
Amtsanwalt,93.3804860355,male,0,Amtsanwalt,0,Amtsanwalt,Amtsanwältin,Amtsanwalt,0.408966148216,93.3804860355,0.408966148216
Animateur,67.550274223,male,0,Animateur,0,Animateur,Animateurin,Animateur,0.991900338953,67.550274223,0.991900338953
Anlagenelektriker,3.41477678862,male,0,Anlagenelektriker,0,Anlagenelektriker,Anlagenelektrikerin,Anlagenelektriker,0.809034907598,3.41477678862,0.809034907598
Anlagenmechaniker,3.29425467804,male,0,Anlagenmechaniker,0,Anlagenmechaniker,Anlagenmechanikerin,Anlagenmechaniker,0.954667863555,3.29425467804,0.954667863555
Anwendungsprogrammierer,13.505193109,male,0,Anwendungsprogrammierer,0,Anwendungsprogrammierer,Anwendungsprogrammiererin,Anwendungsprogrammierer,0.848124428179,13.505193109,0.848124428179
Apotheker,83.8102088662,neutral,1,Apotheker,0,Apotheker,Apothekerin,Apotheker,0.785195936139,83.8102088662,0.785195936139
Arbeitserzieher,68.3097468018,male,0,Arbeitserzieher,0,Arbeitserzieher,Arbeitserzieherin,Arbeitserzieher,0.77565849228,68.3097468018,0.77565849228
Arbeitsvermittler,66.3964145433,male,0,Arbeitsvermittler,0,Arbeitsvermittler,Arbeitsvermittlerin,Arbeitsvermittler,0.645133505599,66.3964145433,0.645133505599
Architekt,46.4820056611,male,0,Architekt,0,Architekt,Architektin,Architekt,0.880341880342,46.4820056611,0.880341880342
Archivar,67.26062468,male,0,Archivar,0,Archivar,Archivarin,Archivar,0.955154057106,67.26062468,0.955154057106
