,l_m_without_outliers,NormalizedGoogleDif2,intercept,Bias2
Glasmacher,17.5054582097,0.982474675284,1,0
Fachapotheker,83.8102088662,0.315453384419,1,0
Thermometermacher,21.9696969697,0.80412371134,1,0
Pädagoge,74.5593544277,0.00361010830325,1,0
Vergolder,12.6353874883,0.789819376026,1,0
Pharmazieingenieur,26.7838353922,0.0698466780239,1,0
Personalreferent,66.3964145433,0.441002949853,1,0
Betriebswirt,44.2377678932,0.59266802444,1,0
Küchenchef,18.02864773,0.911652703732,1,0
Komparse,41.5165165165,0.646464646465,1,0
Filmvorführer,16.156507852,0.823564239195,1,0
Chemielaborant,59.1680426246,0.673405909798,1,0
Listbroker,60.5296610169,0.993355481728,1,0
Musikalienhändler,33.5901386749,0.86395286556,1,0
Holzmechaniker,6.89245395128,0.892493638677,1,0
Polster- und Dekorationsnäher,54.8604292327,0.747652102899,1,0
Mediengestalter,50.1462693284,0.699819168174,1,0
Assistenzarzt,63.8102442187,0.47355163728,1,0
Bankkaufmann,59.7982510844,0.505131128848,1,0
Hotelmeister,66.5682062299,0.560857258391,1,0
Fondsmanager,44.3380220021,0.960018382353,1,0
Prior,62.5711035267,0.997362525282,1,0
Beleuchter,12.5905136121,0.903801298619,1,0
Lebensmittelkontrolleur,35.3913466213,0.807817589577,1,0
Biologe,64.447695684,0.230610134436,1,0
Maurer,0.209680237638,0.997601519264,1,0
Aufbereitungsmechaniker,4.23446184942,0.776173285199,1,0
Edelsteingraveur,60.9995903318,0.764705882353,1,0
Winzer,18.034026465,0.953348382242,1,0
Missionar,67.8608515057,0.896463352127,1,0
Heizer,12.501779731,0.994297010304,1,0
Tunnelwärter,2.21180663155,0.98904109589,1,0
Hafenschiffer,5.69221386461,0.792642140468,1,0
Werkzeugmechaniker,3.10172465159,0.90332326284,1,0
Industriekeramiker Modelltechnik,16.735966736,0.539033457249,1,0
Revolverdreher,2.73770282356,0.890909090909,1,0
Pressesprecher,65.267451247,0.471428571429,1,0
Notenstecher,50.1462693284,0.906896551724,1,0
Geologe,30.4119850187,0.7056,1,0
Manager,21.1018907961,0.995921378054,1,0
Pflasterer,0.528109028961,0.916763740337,1,0
Graveur,26.9543973941,0.997813925128,1,0
Kopfschlächter,13.9570504204,0.993055555556,1,0
Hausmeister,6.86331637035,0.934512608205,1,0
Ordensbruder,62.5711035267,-0.476293103448,1,0
Porzellanmaler,75.4844144903,0.659050966608,1,0
Fahrlehrer,13.4048438238,0.884644573741,1,0
Einkäufer,49.0421123053,0.865021770682,1,0
Operationstechnischer Assistent,77.7285201604,0.282336578581,1,0
Strohdecker,0.400729968205,0.872146118721,1,0
Requisiteur,64.7788736876,0.413373860182,1,0
Berg- und Maschinenmann,7.26492128967,0.933415536375,1,0
Animateur,67.550274223,0.991900338953,1,0
Packmitteltechnologe,17.5711352303,0.851936740775,1,0
Fußballtrainer,7.80452224654,0.966685033696,1,0
Rohrleitungsbauer,0.269944765148,0.923404255319,1,0
Tischler,3.90146033877,0.980405731428,1,0
Technischer Redakteur,50.5608415413,0.694915254237,1,0
Psychoanalytiker,78.1458251666,0.569985569986,1,0
Reaktorfahrer,6.16331126919,0.967611336032,1,0
Betriebssanitäter,21.3708058503,0.958077709611,1,0
Forstwirt,5.09963399756,0.873268058378,1,0
Religionslehrer,77.6637554585,0.459807073955,1,0
Weinhandelsküfer,12.1335504886,0.822222222222,1,0
Büroleiter,70.9926383282,0.354166666667,1,0
Rettungsassistent,21.3708058503,0.750595710882,1,0
Dokumentar,62.5742942051,0.977669970521,1,0
Messerschmied,3.10172465159,0.980669932477,1,0
Informationstechnischer Assistent,11.4381605553,0.856209150327,1,0
Handelsvertreter,34.1969853683,0.941627504328,1,0
Korbmacher,59.0717299578,0.944076770351,1,0
Hochbaufacharbeiter,2.24141793831,0.906492648274,1,0
Physiotherapeut,77.4982405505,0.601907032181,1,0
Knecht,21.5765899789,0.343664539654,1,0
Elektroingenieur,25.5998730188,0.958571945586,1,0
Lichtgestalter,12.5905136121,0.931875953228,1,0
Stuckateur,0.919488674591,0.980335905078,1,0
Drechsler,60.4,0.992335789351,1,0
Buchbinder,36.6999465145,0.955292501189,1,0
Berufskraftfahrer,1.7043032114,0.950682738959,1,0
Humorist,54.5454545455,0.990159359624,1,0
Drehbuchautor,47.7832512315,0.642512077295,1,0
Rechtspfleger,93.3804860355,0.579250720461,1,0
Müller,3.44827586207,0.992671579727,1,0
Landschaftsarchitekt,13.8494826824,0.556085918854,1,0
Süßwarentechnologe,57.6938758868,0.736162361624,1,0
Hörgeräteakustiker,66.1900571931,0.951318458418,1,0
Direktor,62.9975429975,0.998790700297,1,0
Fachzahnarzt,66.0346097202,0.388601036269,1,0
Bauchredner,30.9090909091,0.959588921791,1,0
Pfarrer,30.0088759784,0.789401238816,1,0
Fachmann,71.6330078909,0.781443298969,1,0
Werkfeuerwehrmann,3.44094865995,0.798816568047,1,0
Technischer Produktdesigner,55.2902652383,0.816911250874,1,0
Fraud-Analyst,16.5119285462,0.998173992435,1,0
Kunstschmied,14.0532544379,0.969464269582,1,0
Dachdecker,0.400729968205,0.993338054397,1,0
Fotomedienlaborant,57.881773399,0.339285714286,1,0
Förster,5.09963399756,0.977981538839,1,0
Prozessleitelektroniker,6.35842667361,0.92007992008,1,0
Baumeister,22.5084770306,0.988150098749,1,0
Lektor,72.8127671701,0.937646356582,1,0
Kanalsteurer,5.69221386461,0.988439306358,1,0
Informatiker,16.2154269235,0.877667140825,1,0
