,l_m_without_outliers,NormalizedGoogleDif2,intercept,Bias2
Sparkassenkaufmann,59.7982510844,0.421947449768,1,0
Restaurantmeister,46.9442078365,0.667337897704,1,0
Privatdozent,42.812488391,0.75797579758,1,0
Pharmakant,26.7838353922,0.773940345369,1,0
Dramatiker,51.4743851067,0.926745516978,1,0
Fluggerätmechaniker,7.47075732134,0.930424291172,1,0
Metallschleifer,6.28800778399,0.932952924394,1,0
Technischer Fachwirt,62.1600224791,0.841029832448,1,0
Hoteldiener,79.2351889413,0.944121071013,1,0
Fertigungsmechaniker,21.0325537037,0.885121752301,1,0
Purser,78.2033652524,0.991985516217,1,0
Beschließerin,93.6919095072,-0.320905459387,1,1
Kanalsteurer,5.69221386461,0.988439306358,1,0
Matrose,3.8146208153,0.739750445633,1,0
Medientechnologe Siebdruck,22.5987478195,0.460213289582,1,0
Betriebswirt,44.2377678932,0.59266802444,1,0
Assistenzarzt,63.8102442187,0.47355163728,1,0
Tontechniker,26.5236833389,0.912536443149,1,0
Missionar,67.8608515057,0.896463352127,1,0
Aufzugsmonteur,4.12407074143,0.967694566814,1,0
Industriekeramiker Anlagentechnik,25.5032397408,0.623376623377,1,0
Mediaberater,54.6682417799,0.819945673263,1,0
Beton- und Stahlbetonbauer,0.723795907426,0.928100510014,1,0
Polster- und Dekorationsnäher,54.8604292327,0.747652102899,1,0
Werbeleiter,39.301264773,0.670212765957,1,0
Weinküfer,12.1335504886,0.685695097381,1,0
Elektromechanikermeister,1.19304480264,0.986230636833,1,0
Tonmeister,26.5236833389,0.943141043334,1,0
Kartograf,47.4680548982,0.937673557544,1,0
Landschaftsarchitekt,13.8494826824,0.556085918854,1,0
Wächter,31.0871031175,0.957072840967,1,0
Klassenlehrer,70.4238331399,0.0691244239631,1,0
Taxi,13.9629239126,0.911235505798,1,0
IT-Systemkaufmann,21.9930782724,0.805186849091,1,0
Bauzeichner,55.2902652383,0.791044776119,1,0
Account-Manager,43.2484932485,0.995389441064,1,0
Wirtschaftsassistent,79.0444149597,0.221445221445,1,0
Holzblasinstrumentenmacher,29.4294294294,0.845556095192,1,0
Tierpfleger,46.9706787624,0.508313539192,1,0
Nautischer Offiziersassistent,3.8146208153,0.814814814815,1,0
Stanz- und Umformmechaniker,12.937104197,0.855166802278,1,0
Automateneinrichter,4.12407074143,0.876606683805,1,0
Sport- und Fitnesskaufmann,45.0848688391,0.472527472527,1,0
Drechsler,60.4,0.992335789351,1,0
Beleuchtungsmeister,19.2571659265,0.912126537786,1,0
Zuschneider,84.4050647718,0.76682464455,1,0
Technischer Produktdesigner,55.2902652383,0.816911250874,1,0
Calculator,35.7425929421,0.999608198597,1,0
Feinpolierer,6.28800778399,0.829694323144,1,0
Tätowierer,41.125,0.899518238128,1,0
Schleusenwärter,7.47126436782,0.883389261745,1,0
Beleghebamme,99.8431372549,-0.993448107618,1,1
Werbetexter,54.6682417799,0.583333333333,1,0
Astronom,13.6886395512,0.971198909308,1,0
Physikingenieur,32.4723846654,0.891045710708,1,0
Geograph,42.5909494232,0.977785233714,1,0
Zoologe,46.332046332,0.730182926829,1,0
Dirigent,27.8372591006,0.914453259745,1,0
Justizfachwirt,93.3804860355,0.178947368421,1,0
Werkzeugmechaniker,3.10172465159,0.90332326284,1,0
Zahnarzt,66.0346097202,0.812807881773,1,0
Pressesprecher,65.267451247,0.471428571429,1,0
Restaurantfachmann,65.2648305355,0.179874213836,1,0
Spezialtiefbauer,2.56153858974,0.899012074643,1,0
Videojournalist,50.5608415413,0.991355705913,1,0
Scherer,20.9806780897,0.999667702279,1,0
Fischwirt,17.7215189873,0.868781930627,1,0
Handelsfachwirt,49.2979461483,0.792807300054,1,0
Änderungsschneider,84.4050647718,0.561904761905,1,0
Physikalisch-technischer Assistent,32.4723846654,0.530593607306,1,0
Entwicklungshelfer,34.1637010676,0.762752792031,1,0
Bezirksamtsleiter,21.2482255121,0.71144278607,1,0
Zootechniker,43.2111947848,0.600377002828,1,0
Konservator,45.4646222058,0.905441570027,1,0
Flachglasmechaniker,22.984008166,0.887076537014,1,0
Bote,47.8940392206,0.838901838902,1,0
Bildredakteur,50.5608415413,0.192743764172,1,0
Fahrzeuginnenausstatter,44.4552466135,0.846607669617,1,0
Kettenschmied,60.9995903318,0.857142857143,1,0
Reaktorfahrer,6.16331126919,0.967611336032,1,0
Zupfinstrumentenmacher,29.8076923077,0.883259911894,1,0
Richter,38.4615384615,0.956745623069,1,0
Schriftsteller,47.7832512315,0.659071729958,1,0
Schwimmmeister,14.3865948534,0.808035714286,1,0
Nachtportier,79.2351889413,0.995518087717,1,0
Korrektor,76.9957343083,0.933139534884,1,0
Pharmareferent,57.8807706289,0.374722838137,1,0
Holzmechaniker,6.89245395128,0.892493638677,1,0
Geigenbauer,29.8076923077,0.901108269395,1,0
Beleuchter,12.5905136121,0.903801298619,1,0
Rettungsschwimmer,39.2836746349,0.912547035163,1,0
Kassierer,59.7982510844,0.210702341137,1,0
Schwesternhelferin,84.9596721778,-0.252204585538,1,1
Medizinischer Dokumentar,85.1895119418,0.162051747617,1,0
Leuchtröhrenglasbläser,26.8707482993,0.813780260708,1,0
Glaser,3.06442138242,0.998439574579,1,0
Sprachmittler,69.8481848185,0.68112244898,1,0
Müller,3.44827586207,0.992671579727,1,0
Korbmacher,59.0717299578,0.944076770351,1,0
Designer,48.9152458611,0.994259514668,1,0
Filmgeschäftsführung,40.1872883044,0.536231884058,1,0
Schriftdolmetscher,69.8481848185,0.628686327078,1,0
Hafenarbeiter,24.9768310941,0.987432412684,1,0
Immobilienkaufmann,57.0449103969,0.304635761589,1,0
Fachverkäufer im Lebensmittelhandwerk (Fleischerei),92.3912445691,0.385579937304,1,0
Fernmeldehandwerker,11.4381605553,0.959183673469,1,0
Dolmetscher,69.8481848185,0.651773625778,1,0
Informatiker,16.2154269235,0.877667140825,1,0
Fahrbahnmarkierer,2.21180663155,0.966386554622,1,0
Masseur und medizinischer Bademeister,77.4982405505,0.542954490144,1,0
Telefonist,79.4443583916,0.767337807606,1,0
Schmied,2.2858399983,0.984790464376,1,0
Schuh- und Lederwarenstepper,37.8797535585,0.774294670846,1,0
Pantomime,41.5165165165,0.996959800855,1,0
Handzuginstrumentenmacher,33.0882352941,0.906950028719,1,0
Pelzveredler,65.6862745098,0.799621928166,1,0
Kellermeister,4.35766836446,0.953559777394,1,0
Kaufmannsgehilfe,71.6330078909,0.65611814346,1,0
Veranstaltungskaufmann,58.3260838046,0.146529562982,1,0
Verlagskaufmann,65.0971858153,0.261663286004,1,0
Medientechnik,11.4381605553,0.811320754717,1,0
Bestatter,26.2594161959,0.933344573709,1,0
Handwerksmeister,7.61356849122,0.965373905323,1,0
Literat,47.7832512315,0.958140352934,1,0
Glasapparatebauer,21.9696969697,0.751336898396,1,0
Grafiker,48.9152458611,0.795407098121,1,0
Facharzt,54.1590254126,0.548856548857,1,0
Medienkaufmann Digital und Print,65.0971858153,0.212636695018,1,0
Schneider,84.4050647718,0.989530273313,1,0
Intendant,40.1872883044,0.847076461769,1,0
Offizier,43.2896890344,0.967968177536,1,0
Versicherungsberater,53.568518232,0.923758865248,1,0
Gartenbaufachwerker,21.8356761854,0.894230769231,1,0
Biologe,64.447695684,0.230610134436,1,0
Federmacher,12.937104197,0.859022556391,1,0
Toningenieur,26.5236833389,0.952489424016,1,0
Sommelier,64.7840765227,0.943544655252,1,0
Handelsvertreter,34.1969853683,0.941627504328,1,0
Vermessungstechniker,27.0417875979,0.737604212374,1,0
Dekorvorlagenhersteller,50.1462693284,0.669341894061,1,0
Elektroinstallateur,11.4381605553,0.98633736206,1,0
Revierjäger,9.27835051546,0.867870722433,1,0
Maschinenzusammensetzer,21.0325537037,0.862567811935,1,0
Geprüfter Technischer Betriebswirt,62.1600224791,0.902993734045,1,0
Butler,93.6919095072,0.999683383464,1,0
Kraftfahrer,24.9768310941,0.980198019802,1,0
Rettungshelfer,21.3708058503,0.944294421727,1,0
Betriebssanitäter,21.3708058503,0.958077709611,1,0
Mikrotechnologe,28.2151300236,0.632047477745,1,0
Glasbläser,27.8772378517,0.899340922708,1,0
Filmvorführer,16.156507852,0.823564239195,1,0
IT-Berater,19.8526233052,0.93930938263,1,0
Steuermann,4.49203447375,0.804043545879,1,0
Tierheilpraktiker,73.8573730179,0.415441176471,1,0
Reiseleiter,58.0346820809,0.663019693654,1,0
Gleichstellungsbeauftragte,32.0429252782,-0.957971136805,1,1
Hebamme,99.8431372549,-0.908827044562,1,1
Film- und Videoeditor,26.5236833389,0.686316541622,1,0
Elektroingenieur,25.5998730188,0.958571945586,1,0
Kutscher,15.3005464481,0.985175636481,1,0
Feinwerkmechaniker,14.6782915793,0.930708999249,1,0
Fassadenmonteur,1.2849391531,0.816246896062,1,0
Sattler,48.3291210334,0.985128027568,1,0
Rabbiner,30.0088759784,0.907028399175,1,0
Juwelier,60.9995903318,0.998079623473,1,0
Edelmetallprüfer,19.3917391602,0.681908548708,1,0
Schiffszimmerer,1.21315420092,0.930215293244,1,0
Altenpfleger,85.0894719246,0.475515463918,1,0
Betriebsingenieur,15.718731148,0.963275204989,1,0
Lichtgestalter,12.5905136121,0.931875953228,1,0
Stationsarzt,57.2999620781,0.544172234595,1,0
Schauspieler,44.0665569574,0.287179487179,1,0
Sozialassistent,81.0310203384,0.181818181818,1,0
Graveur,26.9543973941,0.997813925128,1,0
Energieelektroniker,4.9236883504,0.946096223647,1,0
Schriftsetzer,50.1462693284,0.803687095167,1,0
Medienfachwirt,65.0971858153,0.149732620321,1,0
Anlagenelektriker,3.41477678862,0.809034907598,1,0
Fallmanager,66.3964145433,0.543062200957,1,0
Edelsteingraveur,60.9995903318,0.764705882353,1,0
Brunnenbauer,0.531914893617,0.974795374821,1,0
Tonassistent,26.5236833389,0.830161054173,1,0
Netzelektriker,4.9236883504,0.970301311932,1,0
Holztechniker,11.5013019049,0.915865151074,1,0
