,l_m_without_outliers,NormalizedGoogleDif2,Bias2,const
Abfallbeauftragter,26.1261261261,0.296424452134,0,1
Abt,62.5711035267,0.986317527719,0,1
Account-Manager,43.2484932485,0.995389441064,0,1
Altenpflegehelfer,85.0894719246,0.420560747664,0,1
Altenpfleger,85.0894719246,0.475515463918,0,1
Amtsanwalt,93.3804860355,0.408966148216,0,1
Animateur,67.550274223,0.991900338953,0,1
Anlagenelektriker,3.41477678862,0.809034907598,0,1
Anlagenmechaniker,3.29425467804,0.954667863555,0,1
Anwendungsprogrammierer,13.505193109,0.848124428179,0,1
Arbeitserzieher,68.3097468018,0.77565849228,0,1
Arbeitsvermittler,66.3964145433,0.645133505599,0,1
Architekt,46.4820056611,0.880341880342,0,1
Archivar,67.26062468,0.955154057106,0,1
Arrangeur,31.8181818182,0.9825708061,0,1
Artist (Darsteller),41.5165165165,0.998673923301,0,1
Arzt,90.9643696925,0.758909853249,0,1
Asphaltbauer,0.983744394619,0.813796430294,0,1
Assistenzarzt,63.8102442187,0.47355163728,0,1
Astronom,13.6886395512,0.971198909308,0,1
Astrophysiker,13.6886395512,0.824981301421,0,1
Aufbereitungsmechaniker,4.23446184942,0.776173285199,0,1
Aufzugsmonteur,4.12407074143,0.967694566814,0,1
Augenoptiker,76.7466540888,0.954359274429,0,1
Ausbaufacharbeiter,0.557103064067,0.913805697589,0,1
Ausbilder,33.7182984156,0.792850595784,0,1
Ausbildungsberater,66.3964145433,0.732522796353,0,1
Automateneinrichter,4.12407074143,0.876606683805,0,1
Automatenfachmann,31.1041666667,0.81365221724,0,1
Automobil-Mechatroniker,3.97341840672,0.968549796156,0,1
Automobilkaufmann,21.0800227373,0.348348348348,0,1
Ballettmeister,53.1545741325,0.525206232814,0,1
Ballettrepetitor,35.5086372361,0.88623853211,0,1
Bankkaufmann,59.7982510844,0.505131128848,0,1
Bauchredner,30.9090909091,0.959588921791,0,1
Baugeräteführer,0.2800140007,0.884103531384,0,1
Baumeister,22.5084770306,0.988150098749,0,1
Baustoffprüfer,23.0246602919,0.789598108747,0,1
Bautechniker,22.5084770306,0.898734177215,0,1
Bauwerksabdichter,0.942760942761,0.887179487179,0,1
Bauwerksmechaniker für Abbruch und Betontrenntechnik,1.2849391531,0.43661971831,0,1
Bauzeichner,55.2902652383,0.791044776119,0,1
Beleghebamme,99.8431372549,-0.993448107618,1,1
Beleuchter,12.5905136121,0.903801298619,0,1
Beleuchtungsmeister,19.2571659265,0.912126537786,0,1
Berechnungsingenieur,12.2531548471,0.956908479937,0,1
Berg- und Maschinenmann,7.26492128967,0.933415536375,0,1
Bergbautechnologe,7.26492128967,0.659278024066,0,1
Berufskraftfahrer,1.7043032114,0.950682738959,0,1
Beschließerin,93.6919095072,-0.320905459387,1,1
Bestatter,26.2594161959,0.933344573709,0,1
Beton- und Stahlbetonbauer,0.723795907426,0.928100510014,0,1
Betonfertigteilbauer,1.71388101983,0.934168365861,0,1
Betonstahlbieger und -flechter,0.723795907426,1.0,0,1
Betriebsführer,25.9924816691,0.800590691516,0,1
