	Ambigious	Bias	Name	Oppositgender	WikiName
0	0	male	Mikrotechnologe	Mikrotechnologin	Mikrotechnologe
1	0	male	Metallformer	Metallformerin	Metallverformer
2	0	male	Honorarprofessor	Honorarprofessorin	Honorarprofessor
3	0	male	Komparse	Komparsin	Komparse
4	0	male	Missionar	Missionarin	Missionar
5	0	male	Historiker	Historikerin	Historiker
6	0	male	Fremdenführer	Fremdenführerin	Fremdenführer
7	0	male	Richter	Richterin	Richter
8	0	male	Bestatter	Bestatterin	Bestatter
9	0	male	Philosoph	Philosophin	Philosoph
10	0	male	Kartograf	Kartografin	Kartograf
11	0	male	Physikalisch-technischer Assistent	Physikalisch-technische Assistentin	Physikalisch-technischer Assistent
12	0	male	Galerist	Galeristin	Galerist
13	0	male	Weinküfer	Weinküferin	Weinküfer
14	0	male	Sport- und Fitnesskaufmann	Sport- und Fitnesskauffrau	Sport- und Fitnesskaufmann
15	0	male	Diätkoch	Diätköchin	Diätkoch
16	0	male	Pädagoge	Pädagogin	Pädagoge
17	0	male	Schriftgießer	Schriftgießerin	Schriftgießer
18	0	male	Systemelektroniker	Systemelektronikerin	Systemelektroniker
19	0	male	Automatenfachmann	Automatenfachfrau	Automatenfachmann
20	0	male	Astrophysiker	Astrophysikerin	Astrophysiker
21	0	male	Büroleiter	Büroleiterin	Büroleiter
22	0	male	Zootechniker	Zootechnikerin	Zootechniker
23	0	male	Erzieher	Erzieherin	Erzieher
24	0	male	Biologielaborant	Biologielaborantin	Biologielaborant
25	0	male	Friseur	Friseurin	Friseur
26	0	male	Redenschreiber	Redenschreiberin	Redenschreiber
27	0	male	Reporter	Reporterin	Reporter
28	0	male	Installateur	Installateurin	Installateur
29	1	neutral	Host	Hostess	Host
30	0	neutral	Hostess	Host	Hostess
31	0	male	Estrichleger	Estrichlegerin	Estrichleger
32	0	male	Spezialtiefbauer	Spezialtiefbauerin	Spezialtiefbauer
33	0	male	Tontechniker	Tontechnikerin	Tontechniker
34	0	male	Feldwebel	Feldwebelin	Feldwebel
35	0	male	Pharmazeutisch-kaufmännischer Angestellter	Pharmazeutisch-kaufmännische Angestellte	Pharmazeutisch-kaufmännischer Angestellter
36	0	male	Steuerbevollmächtigter	Steuerbevollmächtigte	Steuerbevollmächtigter
37	0	male	Gesundheits- und Krankenpflegehelfer	Gesundheits- und Krankenpflegehelferin	Gesundheits- und Krankenpflegehelfer
38	0	male	Schornsteinfeger	Schornsteinfegerin	Schornsteinfeger
39	0	male	Abt	Äbtissin	Abt
40	0	male	Matrose	Matrosin	Matrose
41	0	male	Kaufmann für Verkehrsservice	Kauffrau für Verkehrsservice	Kaufmann für Verkehrsservice
42	0	male	Toningenieur	Toningenieurin	Toningenieur
43	0	male	Anlagenmechaniker	Anlagenmechanikerin	Anlagenmechaniker
44	0	male	Strohdachdecker	Strohdachdeckerin	Strohdecker
45	0	male	Fahrlehrer	Fahrlehrerin	Fahrlehrer
46	0	male	Orientalist	Orientalistin	Orientalist
47	0	male	Baumeister	Baumeisterin	Baumeister
48	0	male	Bautechniker	Bautechnikerin	Bautechniker
49	0	male	Handwerksmeister	Handwerksmeisterin	Handwerksmeister
50	0	male	Korrepetitor	Korrepetitorin	Korrepetitor
51	0	male	Zahnmedizinischer Prophylaxeassistent	Zahnmedizinische Prophylaxeassistentin	Zahnmedizinischer Prophylaxeassistent
52	0	male	Ethnologe	Ethnologin	Ethnologe
53	0	male	Hotelfachmann	Hotelfachfrau	Hotelfachmann
54	0	male	Polizeivollzugsbeamter	Polizeivollzugsbeamtin	Polizeivollzugsbeamter
55	0	male	Reiseleiter	Reiseleiterin	Reiseleiter
56	0	male	Änderungsschneider	Änderungsschneiderin	Änderungsschneider
57	0	male	Meister	Meisterin	Meister
58	0	male	Ramp-Agent	Ramp-Agentin	Ramp Agent
59	0	male	Schweißer	Schweißerin	Schweißer
60	0	male	Immissionsschutzbeauftragter	Immissionsschutzbeauftragte	Immissionsschutzbeauftragter
61	0	male	Rettungssanitäter	Rettungssanitäterin	Rettungssanitäter
62	0	male	Bodensteward	Bodenstewardess	Bodensteward
63	0	male	Unternehmensberater	Unternehmensberaterin	Unternehmensberater
64	0	male	Verwaltungsbetriebswirt	Verwaltungsbetriebswirtin	Verwaltungsbetriebswirt (HVSV)
65	0	male	Edelsteinfasser	Edelsteinfasserin	Edelsteinfasser
66	0	male	Musikfachhändler	Musikfachhändlerin	Musikfachhändler
67	0	male	Medienberater	Medienberaterin	Mediaberater
68	0	male	Kaffeeröster	Kaffeerösterin	Kaffeeröster
69	0	male	Logistikmeister	Logistikmeisterin	Geprüfter Logistikmeister
70	0	male	Artist	Artistin	Artist (Darsteller)
71	0	neutral	Medientechniker	Medientechnikerin	Medientechnik
72	0	male	Visagist	Visagistin	Visagist
73	0	male	Lebensmittelkontrolleur	Lebensmittelkontrolleurin	Lebensmittelkontrolleur
74	0	male	Assistenzarzt	Assistenzärztin	Assistenzarzt
75	0	male	Sprachmittler	Sprachmittlerin	Sprachmittler
76	0	male	Patentanwalt	Patentanwältin	Patentanwalt (Deutschland)
77	0	male	Kupferstecher	Kupferstecherin	Kupferstecher
78	0	male	Maler und Lackierer	Malerin und Lackiererin	Maler und Lackierer
79	0	male	Edelsteinschleifer	Edelsteinschleiferin	Edelsteinschleifer
80	0	male	Elektroingenieur	Elektroingenieurin	Elektroingenieur
81	0	male	Raumausstatter	Raumausstatterin	Raumausstatter
82	0	male	Uhrmacher	Uhrmacherin	Uhrmacher
83	0	male	Betriebssanitäter	Betriebssanitäterin	Betriebssanitäter
84	0	male	Schuhfertiger	Schuhfertigerin	Schuhfertiger
85	0	male	Fachpraktiker	Fachpraktikerin	Fachpraktiker
86	0	male	Automobilkaufmann	Automobilkauffrau	Automobilkaufmann
87	0	male	Schausteller	Schaustellerin	Schausteller
88	1	male	Präsident	Präsidentin	Präsident
89	0	male	Werkpolier	Werkpolierin	Werkpolier
90	0	male	Bühnenmeister	Bühnenmeisterin	Bühnenmeister
91	0	male	Handzuginstrumentenmacher	Handzuginstrumentenmacherin	Handzuginstrumentenmacher
92	0	male	Journalist	Journalistin	Journalist
93	0	male	Foto- und medientechnischer Assistent	Foto- und medientechnische Assistentin	Gestaltungs- und medientechnischer Assistent
94	0	male	Rechtsanwalt	Rechtsanwältin	Rechtsanwalt
95	0	male	Syndikus-Anwalt	Syndikus-Anwältin	Syndikus
96	0	male	Medizinisch-technischer Assistent	Medizinisch-technische Assistentin	Medizinisch-technischer Assistent
97	0	male	Fachangestellter für Medien- und Informationsdienste	Fachangestellte für Medien- und Informationsdienste	Fachangestellter für Medien- und Informationsdienste
