José [(u'male', u'0.99', 5100)]
Yuri [(u'female', u'0.52', 197)]
Hector [(u'male', u'1.00', 1111)]
Abraham [(u'male', u'1.00', 291)]
Tom [(u'male', u'1.00', 3729)]
Stavros [(u'male', u'1.00', 43)]
Leonidas [(u'male', u'0.96', 27)]
Umeshwar [(u'male', u'1.00', 0.0)]
Eric [(u'male', u'1.00', 4103)]
Jennifer [(u'female', u'1.00', 6705)]
Angelika [(u'female', u'1.00', 74)]
Klaus [(u'male', u'0.98', 177)]
Meichun [(u'female', u'1.00', 1)]
Nathan [(u'male', u'1.00', 1630)]
Gail [(u'female', u'1.00', 813)]
William [(u'male', u'1.00', 2621)]
Sunit [(u'male', u'1.00', 9)]
Won [(u'male', u'0.80', 5)]
Bruce [(u'male', u'0.99', 799)]
Alfons [(u'male', u'1.00', 11)]
Guido [(u'male', u'1.00', 245)]
Injun [(u'None', u'0.0', 0.0)]
Mark [(u'male', u'1.00', 6173)]
Jorge [(u'male', u'1.00', 3179)]
Vincent [(u'male', u'1.00', 1422)]
David [(u'male', u'1.00', 12584)]
Tim [(u'male', u'0.99', 2945)]
Teresa [(u'female', u'1.00', 1626)]
Weiyi [(u'female', u'1.00', 3)]
Clement [(u'male', u'1.00', 284)]
Amihai [(u'male', u'1.00', 0.0)]
Edward [(u'male', u'1.00', 1012)]
Tamer [(u'male', u'0.99', 250)]
Marek [(u'male', u'1.00', 229)]
Amit [(u'male', u'0.99', 477)]
Hanan [(u'female', u'0.90', 153)]
Walid [(u'male', u'0.99', 185)]
Ming-Chien [(u'male', u'1.00', 0.0)]
Rafi [(u'male', u'0.78', 55)]
Jim [(u'male', u'1.00', 2283)]
Weimin [(u'male', u'1.00', 57)]
Richard [(u'male', u'1.00', 4376)]
Ralph [(u'male', u'1.00', 323)]
Craig [(u'male', u'1.00', 1814)]
Albert [(u'male', u'0.99', 722)]
Ingram [(u'male', u'1.00', 3)]
Anders [(u'male', u'1.00', 603)]
Christer [(u'male', u'1.00', 84)]
Robert [(u'male', u'1.00', 5237)]
Allen [(u'male', u'0.99', 560)]
Jason [(u'male', u'1.00', 4922)]
Jacob [(u'male', u'1.00', 1308)]
Harold [(u'male', u'1.00', 364)]
Monty [(u'male', u'1.00', 45)]
Michael [(u'male', u'1.00', 11142)]
Joel [(u'male', u'0.99', 1471)]
Eugene [(u'male', u'0.98', 322)]
Dominique [(u'female', u'0.69', 687)]
Jack [(u'male', u'0.99', 1990)]
Clarence [(u'male', u'0.95', 78)]
Simon [(u'male', u'0.99', 2442)]
Daniel [(u'male', u'1.00', 8175)]
Jurgen [(u'male', u'0.99', 84)]
Waqar [(u'male', u'1.00', 33)]
Peter [(u'male', u'1.00', 4371)]
Brom [(u'male', u'1.00', 0.0)]
Marie-Anne [(u'female', u'1.00', 25)]
Tore [(u'male', u'0.97', 34)]
Kevin [(u'male', u'1.00', 5351)]
Nat [(u'female', u'0.83', 213)]
Hong-Tai [(u'male', u'1.00', 0.0)]
Darrell [(u'male', u'1.00', 277)]
Kyung-Chang [(u'None', u'0.0', 0.0)]
Alfred [(u'male', u'1.00', 229)]
Roger [(u'male', u'1.00', 1216)]
Fred [(u'male', u'0.98', 964)]
Steve [(u'male', u'1.00', 3958)]
Andrew [(u'male', u'1.00', 5165)]
Eliot [(u'male', u'0.96', 25)]
Oscar [(u'male', u'0.99', 1648)]
Dennis [(u'male', u'0.99', 1278)]
Andrea [(u'female', u'0.79', 5799)]
Stanley [(u'male', u'0.96', 221)]
Lynn [(u'female', u'0.96', 1142)]
Henry [(u'male', u'1.00', 1067)]
Nong [(u'female', u'0.58', 19)]
Chris [(u'male', u'0.93', 8616)]
Yair [(u'male', u'0.98', 42)]
Stephen [(u'male', u'1.00', 2603)]
Frederick [(u'male', u'1.00', 294)]
Lawrence [(u'male', u'1.00', 392)]
Donald [(u'male', u'1.00', 491)]
Serge [(u'male', u'1.00', 213)]
Victor [(u'male', u'1.00', 2241)]
Leslie [(u'female', u'0.88', 1173)]
John [(u'male', u'0.99', 9907)]
Jeffrey [(u'male', u'1.00', 931)]
Philip [(u'male', u'1.00', 1095)]
Arthur [(u'male', u'0.98', 546)]
Brian [(u'male', u'1.00', 4593)]
Frank [(u'male', u'1.00', 1563)]
Ravi [(u'male', u'0.98', 355)]
Ken [(u'male', u'0.99', 1431)]
James [(u'male', u'0.99', 6351)]
Ricardo [(u'male', u'1.00', 1914)]
Berthier [(u'male', u'1.00', 0.0)]
Vassos [(u'None', u'0.0', 0.0)]
Diomidis [(u'male', u'1.00', 0.0)]
Elisa [(u'female', u'0.99', 804)]
Barbara [(u'female', u'1.00', 2837)]
Gian [(u'male', u'0.99', 133)]
Piero [(u'male', u'0.99', 104)]
Lincoln [(u'male', u'0.98', 91)]
Lorenzo [(u'male', u'1.00', 495)]
Ivan [(u'male', u'1.00', 1904)]
Silvana [(u'female', u'1.00', 294)]
Maria [(u'female', u'0.99', 8455)]
Grazia [(u'female', u'1.00', 73)]
Giancarlo [(u'male', u'1.00', 145)]
Pierangela [(u'female', u'1.00', 4)]
Bjarne [(u'male', u'1.00', 32)]
Stefano [(u'male', u'1.00', 731)]
Patrick [(u'male', u'1.00', 2871)]
Pang-Ning [(u'None', u'0.0', 0.0)]
Vipin [(u'male', u'1.00', 65)]
Rosanna [(u'female', u'0.99', 160)]
Gottfried [(u'male', u'1.00', 4)]
Douglas [(u'male', u'1.00', 610)]
Kurt-Ulrich [(u'None', u'0.0', 0.0)]
Andreas [(u'male', u'1.00', 1021)]
Neil [(u'male', u'1.00', 1035)]
Jeff [(u'male', u'1.00', 2923)]
Subrata [(u'male', u'1.00', 5)]
Kumar [(u'male', u'0.99', 88)]
Gary [(u'male', u'1.00', 2129)]
George [(u'male', u'0.99', 2096)]
Kingsley [(u'male', u'0.87', 53)]
Hugh [(u'male', u'1.00', 174)]
Colin [(u'male', u'0.99', 954)]
Dorothy [(u'female', u'0.99', 471)]
Margaret [(u'female', u'0.98', 1100)]
Georges [(u'male', u'0.99', 137)]
