	language_label	profession	wikipedia_link	image_link
0	be	Chief executives	http://be.wikipedia.org/wiki/CEO	http://upload.wikimedia.org/wikipedia/commons/9/9d/Applications-development.svg
1	be	Chief executives	http://be.wikipedia.org/wiki/CEO	http://upload.wikimedia.org/wikipedia/commons/2/23/Nuvola_apps_edu_languages.svg
2	bg	Chief executives	http://bg.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B2%D0%B5%D0%BD_%D0%B8%D0%B7%D0%BF%D1%8A%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%BD_%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80	-
3	bn	Chief executives	http://bn.wikipedia.org/wiki/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A7%E0%A6%BE%E0%A6%A8_%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B9%E0%A7%80_%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%BE	http://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg
4	ca	Chief executives	http://ca.wikipedia.org/wiki/Executiu_en_cap	http://upload.wikimedia.org/wikipedia/commons/2/21/ViquiCat.svg
5	ca	Chief executives	http://ca.wikipedia.org/wiki/Executiu_en_cap	http://upload.wikimedia.org/wikipedia/commons/6/63/Arbcom_ru_editing.svg
6	ca	Chief executives	http://ca.wikipedia.org/wiki/Executiu_en_cap	http://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg
7	da	Chief executives	http://da.wikipedia.org/wiki/Administrerende_direkt%C3%B8r	http://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg
8	de	Chief executives	http://de.wikipedia.org/wiki/Chief_Executive_Officer	http://upload.wikimedia.org/wikipedia/commons/b/b7/Qsicon_Quelle.svg
9	de	Chief executives	http://de.wikipedia.org/wiki/Chief_Executive_Officer	http://upload.wikimedia.org/wikipedia/commons/e/e2/Icon-Rechtshinweis-blau2-Asio.svg
10	de	Chief executives	http://de.wikipedia.org/wiki/Chief_Executive_Officer	http://upload.wikimedia.org/wikipedia/commons/e/ea/Disambig-dark.svg
11	el	Chief executives	http://el.wikipedia.org/wiki/%CE%94%CE%B9%CE%B5%CF%85%CE%B8%CF%8D%CE%BD%CF%89%CE%BD_%CE%A3%CF%8D%CE%BC%CE%B2%CE%BF%CF%85%CE%BB%CE%BF%CF%82	http://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg
12	eo	Chief executives	http://eo.wikipedia.org/wiki/%C4%88efa_afergvida_oficisto	http://upload.wikimedia.org/wikipedia/commons/e/e9/Billets_de_5000.jpg
13	es	Chief executives	http://es.wikipedia.org/wiki/Director_ejecutivo	http://upload.wikimedia.org/wikipedia/commons/1/1f/Commons-emblem-question_book_orange.svg
14	fr	Chief executives	http://fr.wikipedia.org/wiki/Directeur_g%C3%A9n%C3%A9ral	http://upload.wikimedia.org/wikipedia/commons/3/3a/Sierpinski_arrowhead_3d_stage_5.png
15	fr	Chief executives	http://fr.wikipedia.org/wiki/Directeur_g%C3%A9n%C3%A9ral	http://upload.wikimedia.org/wikipedia/commons/b/b4/Gtk-dialog-info.svg
16	fr	Chief executives	http://fr.wikipedia.org/wiki/Directeur_g%C3%A9n%C3%A9ral	http://upload.wikimedia.org/wikipedia/commons/6/6c/Satya_Nadella.jpg
17	fr	Chief executives	http://fr.wikipedia.org/wiki/Directeur_g%C3%A9n%C3%A9ral	http://upload.wikimedia.org/wikipedia/commons/e/ec/M%C3%A9tier.png
18	ga	Chief executives	http://ga.wikipedia.org/wiki/Pr%C3%ADomhoifigeach_feidhmi%C3%BAch%C3%A1in	-
19	he	Chief executives	http://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%94%D7%9C_%D7%9B%D7%9C%D7%9C%D7%99	-
20	hu	Chief executives	http://hu.wikipedia.org/wiki/Vez%C3%A9rigazgat%C3%B3	-
21	hy	Chief executives	http://hy.wikipedia.org/wiki/CEO	-
22	id	Chief executives	http://id.wikipedia.org/wiki/Pejabat_tertinggi_eksekutif	http://upload.wikimedia.org/wikipedia/commons/8/8b/Silk_Workers.jpg
23	it	Chief executives	http://it.wikipedia.org/wiki/Amministratore_delegato	http://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg
24	ja	Chief executives	http://ja.wikipedia.org/wiki/%E6%9C%80%E9%AB%98%E7%B5%8C%E5%96%B6%E8%B2%AC%E4%BB%BB%E8%80%85	-
25	kk	Chief executives	http://kk.wikipedia.org/wiki/CEO	-
26	ko	Chief executives	http://ko.wikipedia.org/wiki/%EC%B5%9C%EA%B3%A0%EA%B2%BD%EC%98%81%EC%9E%90	-
27	ku	Chief executives	http://ku.wikipedia.org/wiki/CEO	http://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg
28	lt	Chief executives	http://lt.wikipedia.org/wiki/Generalinis_direktorius	http://upload.wikimedia.org/wikipedia/commons/8/85/Economic_template.svg
29	mk	Chief executives	http://mk.wikipedia.org/wiki/%D0%98%D0%B7%D0%B2%D1%80%D1%88%D0%B5%D0%BD_%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80	-
30	ms	Chief executives	http://ms.wikipedia.org/wiki/Ketua_pegawai_eksekutif	http://upload.wikimedia.org/wikipedia/commons/b/bf/Bill_Gates_World_Economic_Forum_2007.jpg
31	my	Chief executives	http://my.wikipedia.org/wiki/%E1%80%A1%E1%80%99%E1%80%BE%E1%80%AF%E1%80%86%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA_%E1%80%A1%E1%80%9B%E1%80%AC%E1%80%9B%E1%80%BE%E1%80%AD%E1%80%81%E1%80%BB%E1%80%AF%E1%80%95%E1%80%BA	-
32	nn	Chief executives	http://nn.wikipedia.org/wiki/Administrerande_direkt%C3%B8r	-
33	no	Chief executives	http://no.wikipedia.org/wiki/Administrerende_direkt%C3%B8r	http://upload.wikimedia.org/wikipedia/commons/4/44/Michael_O_Leary_a4dn901_3168.jpg
34	pl	Chief executives	http://pl.wikipedia.org/wiki/Dyrektor_generalny	http://upload.wikimedia.org/wikipedia/commons/7/72/Disambig.svg
35	pt	Chief executives	http://pt.wikipedia.org/wiki/Diretor_executivo	http://upload.wikimedia.org/wikipedia/commons/2/29/ThreeCoins.svg
36	pt	Chief executives	http://pt.wikipedia.org/wiki/Diretor_executivo	http://upload.wikimedia.org/wikipedia/commons/4/4a/Disambig_grey.svg
37	pt	Chief executives	http://pt.wikipedia.org/wiki/Diretor_executivo	http://upload.wikimedia.org/wikipedia/commons/8/8b/Nuvola_apps_kalzium.svg
38	ro	Chief executives	http://ro.wikipedia.org/wiki/Director_General	http://upload.wikimedia.org/wikipedia/commons/b/b2/Blue_question_mark.svg
39	ru	Chief executives	http://ru.wikipedia.org/wiki/CEO	http://upload.wikimedia.org/wikipedia/commons/9/9d/Applications-development.svg
40	ru	Chief executives	http://ru.wikipedia.org/wiki/CEO	http://upload.wikimedia.org/wikipedia/commons/6/61/Searchtool.svg
41	ru	Chief executives	http://ru.wikipedia.org/wiki/CEO	http://upload.wikimedia.org/wikipedia/commons/2/23/Nuvola_apps_edu_languages.svg
42	sco	Chief executives	http://sco.wikipedia.org/wiki/Chief_executive_officer	-
43	simple	Chief executives	http://simple.wikipedia.org/wiki/Chief_executive_officer	-
44	sv	Chief executives	http://sv.wikipedia.org/wiki/Verkst%C3%A4llande_direkt%C3%B6r	http://upload.wikimedia.org/wikipedia/commons/1/19/Boss-icon.png
45	sw	Chief executives	http://sw.wikipedia.org/wiki/Mkurugenzi	http://upload.wikimedia.org/wikipedia/commons/2/29/ThreeCoins.svg
46	sw	Chief executives	http://sw.wikipedia.org/wiki/Mkurugenzi	http://upload.wikimedia.org/wikipedia/commons/e/ef/WikiLettreMini.svg
47	tr	Chief executives	http://tr.wikipedia.org/wiki/%C4%B0cra_kurulu_ba%C5%9Fkan%C4%B1	http://upload.wikimedia.org/wikipedia/commons/9/9d/Applications-development.svg
48	uk	Chief executives	http://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%B8%D0%B9_%D0%B2%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D0%B2%D1%87%D0%B8%D0%B9_%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80	-
49	uz	Chief executives	http://uz.wikipedia.org/wiki/BIM	-
50	vi	Chief executives	http://vi.wikipedia.org/wiki/T%E1%BB%95ng_gi%C3%A1m_%C4%91%E1%BB%91c_%C4%91i%E1%BB%81u_h%C3%A0nh	http://upload.wikimedia.org/wikipedia/commons/b/be/Tomboy_logo.svg
51	vi	Chief executives	http://vi.wikipedia.org/wiki/T%E1%BB%95ng_gi%C3%A1m_%C4%91%E1%BB%91c_%C4%91i%E1%BB%81u_h%C3%A0nh	http://upload.wikimedia.org/wikipedia/commons/e/e1/Ambox_wikify.svg
52	vi	Chief executives	http://vi.wikipedia.org/wiki/T%E1%BB%95ng_gi%C3%A1m_%C4%91%E1%BB%91c_%C4%91i%E1%BB%81u_h%C3%A0nh	http://upload.wikimedia.org/wikipedia/commons/3/31/Mark_Zuckerberg_at_the_37th_G8_Summit_in_Deauville_018_v1.jpg
