	language_label	profession	wikipedia_link	image_link
0	de	Honorarprofessor	http://de.wikipedia.org/wiki/Honorarprofessor	-
1	da	Honorarprofessor	http://da.wikipedia.org/wiki/Adjungeret_professor	-
2	en	Honorarprofessor	http://en.wikipedia.org/wiki/Honorary_title_(academic)	http://upload.wikimedia.org/wikipedia/commons/a/a5/Nuvola_apps_bookcase.svg
3	ja	Honorarprofessor	http://ja.wikipedia.org/wiki/%E5%AD%A6%E8%A1%93%E7%A7%B0%E5%8F%B7	-
4	no	Honorarprofessor	http://no.wikipedia.org/wiki/Adjungert_professor	http://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg
5	de	Komparse	http://de.wikipedia.org/wiki/Komparse	http://upload.wikimedia.org/wikipedia/de/1/1c/Fotografen-am-roten-teppich.jpg
6	de	Komparse	http://de.wikipedia.org/wiki/Komparse	http://upload.wikimedia.org/wikipedia/commons/a/a1/2009-06-23-flemming-by-RalfR-04.jpg
7	en	Komparse	http://en.wikipedia.org/wiki/Extra_(actor)	-
8	he	Komparse	http://he.wikipedia.org/wiki/%D7%91%D7%99%D7%98_(%D7%90%D7%9E%D7%A0%D7%95%D7%AA_%D7%94%D7%91%D7%9E%D7%94)	-
9	id	Komparse	http://id.wikipedia.org/wiki/Figuran	http://upload.wikimedia.org/wikipedia/commons/2/26/Nuvola_apps_aktion.png
10	pl	Komparse	http://pl.wikipedia.org/wiki/Rola_epizodyczna	http://upload.wikimedia.org/wikipedia/commons/6/67/WiktionaryPl_nodesc.svg
11	de	Missionar	http://de.wikipedia.org/wiki/Missionar	-
12	af	Missionar	http://af.wikipedia.org/wiki/Sendeling	http://upload.wikimedia.org/wikipedia/af/b/bd/Georg_Schmidt.jpg
13	af	Missionar	http://af.wikipedia.org/wiki/Sendeling	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
14	af	Missionar	http://af.wikipedia.org/wiki/Sendeling	http://upload.wikimedia.org/wikipedia/commons/f/fb/George_French_Angas03.jpg
15	als	Missionar	http://als.wikipedia.org/wiki/Missionar	-
16	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/3/3d/Martires_de_elicura.jpg
17	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/6/61/Crystal_Clear_app_kdict.png
18	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/7/71/Rugendas_-_Aldea_des_Tapuyos.jpg
19	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/2/28/P_religion_world.svg
20	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
21	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/5/5c/ChristianitySymbol.PNG
22	ar	Missionar	http://ar.wikipedia.org/wiki/%D9%85%D8%A8%D8%B4%D8%B1%D9%88%D9%86	http://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg
