_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_plural_gold,person_plural_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason
882949379,false,finalized,3,2/18/2016 20:26:07,one_person,1.0,,,,,male,0.6579,http://upload.wikimedia.org/wikipedia/commons/3/3b/Hugo_M%C3%BChlig_J%C3%A4ger_mit_Hund_im_Grafenberger_Wald.jpg,,,,,,,,
882949380,false,finalized,3,2/18/2016 20:26:07,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/d/d3/En_f%C3%A6r%C3%B8sk_j%C3%A6ger.jpg,,,,,,,,
882949381,false,finalized,3,2/18/2016 20:27:00,one_person,0.6667,,,,,male,0.6667,http://upload.wikimedia.org/wikipedia/commons/0/05/Joachim_von_Sandrart_-_November.jpg,,,,,,,,
882949382,false,finalized,3,2/18/2016 20:27:18,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/5/5c/Hunter_in_Italy_Stavoli_2008_1004.JPG,,,,,,,,
882949383,false,finalized,3,2/18/2016 20:26:36,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/8/81/Battenberg_J%C3%A4gerkreuz_2.JPG,,,,,,,,
882949384,false,finalized,3,2/18/2016 20:26:46,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/e/ef/Fotothek_df_n-17_0000047_Elektronikfacharbeiter.jpg,,,,,,,,
882949385,false,finalized,3,2/18/2016 20:27:36,several_persons_no_single_persons_depiction_is_dominant,1.0,mixed_but_predominantly_female_persons,1.0,,,,,http://upload.wikimedia.org/wikipedia/de/1/1c/Fotografen-am-roten-teppich.jpg,,,,,,,,
882949386,false,finalized,3,2/18/2016 20:26:46,several_persons_no_single_persons_depiction_is_dominant,1.0,mixed_equal_amount_of_male_and_female_persons,0.6667,,,,,http://upload.wikimedia.org/wikipedia/commons/a/a1/2009-06-23-flemming-by-RalfR-04.jpg,,,,,,,,
882949387,false,finalized,3,2/18/2016 20:26:23,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,0.6562,,,,,http://upload.wikimedia.org/wikipedia/commons/1/1d/Schleifer-1568.png,,,,,,,,
882949388,false,finalized,3,2/18/2016 20:26:23,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/d/d3/Werkstatt_und_Schleiferei_im_Gew%C3%B6lbekeller_der_Fa._Gottlob_Brucklacher.JPG,,,,,,,,
882949389,false,finalized,3,2/18/2016 20:26:23,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/de/5/59/Werkzeug_as.jpg,,,,,,,,
882949390,false,finalized,3,2/18/2016 20:28:03,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/2/2a/LegoSpritzguss.JPG,,,,,,,,
882949391,false,finalized,3,2/18/2016 20:27:36,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/de/2/28/Werkzeug_ds.jpg,,,,,,,,
882949392,false,finalized,3,2/18/2016 20:27:49,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/0/04/ProgressiveDieToyota-strip-scrap.jpg,,,,,,,,
882949393,false,finalized,3,2/18/2016 20:27:18,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/df/AltenpflegemitarbeiterDeutschland.png,,,,,,,,
882949394,false,finalized,3,2/18/2016 20:26:07,several_persons_but_one_persons_depiction_is_dominant,0.6842,,0,female,0.6842,,,http://upload.wikimedia.org/wikipedia/commons/0/01/Bundesarchiv_Bild_183-1985-1206-002%2C_Berlin%2C_Krankenhaus_Friedrichshain%2C_Stationsschwester.jpg,,,,,,,,
882949395,false,finalized,3,2/18/2016 20:27:18,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/6/64/%28Evan_Jenkins_and_David_Jones%2C_two_folk_poets_from_Ffair_Rhos%2C_discussing_their_poems_in_a_cobbler%27s_workshop%29_%286346726249%29.jpg,,,,,,,,
882949396,false,finalized,3,2/18/2016 20:26:36,several_persons_no_single_persons_depiction_is_dominant,0.6667,only_male,0.6667,,0,,,http://upload.wikimedia.org/wikipedia/commons/9/97/KC-10Cockpit.jpg,,,,,,,,
882949397,false,finalized,3,2/18/2016 20:27:49,no_person,0.6585,,0,,,,,http://upload.wikimedia.org/wikipedia/commons/8/82/ZFA_Azubis_2000-2011.jpg,,,,,,,,
882949398,false,finalized,3,2/18/2016 20:26:46,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/4/46/Green_City.jpg,,,,,,,,
882949399,false,finalized,3,2/18/2016 20:26:07,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/9/98/Park_Glienicke.jpg,,,,,,,,
882949400,false,finalized,3,2/18/2016 20:27:18,one_person,0.6667,,,,0,female,0.6667,http://upload.wikimedia.org/wikipedia/commons/1/18/Erloeserkathedrale_Fuehrung.jpg,,,,,,,,
882949401,false,finalized,3,2/18/2016 20:27:46,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/a/ad/Portier_mit_Zylinder.JPG,,,,,,,,
882949402,false,finalized,3,2/18/2016 20:26:07,several_persons_no_single_persons_depiction_is_dominant,0.6579,mixed_but_predominantly_male_persons,0.6579,,0,,,http://upload.wikimedia.org/wikipedia/commons/e/e1/LondonSmog.jpg,,,,,,,,
882949403,false,finalized,3,2/18/2016 20:27:36,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/7/75/Schriftstellerinnen-Bund_1896.jpg,,,,,,,,
882949404,false,finalized,3,2/18/2016 20:27:36,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/f/fa/Wiener_Gewerbewappen_Leichenbestatter.jpg,,,,,,,,
882949405,false,finalized,3,2/18/2016 20:26:46,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/a/a1/Theater_Bielefeld_Maske.jpg,,,,,,,,
